"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"-:627506.1-632805.7",,2,1058,4232,4232,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.143454,2,1058,4232,4232,4,1,0,0,0
"-:632806.1-679610.7",,2,9359,37436,37436,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.24443,2,9359,37436,37436,4,1,0,0,0
"-:679611.1-695845.7",,2,3245,12980,12980,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.401905,2,3245,12980,12980,4,1,0,0,0
"-:695846.1-710250.7",,2,2879,11516,11516,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.354244,2,2879,11516,11516,4,1,0,0,0
"-:710251.1-723475.7",,2,2643,10572,10572,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.330351,2,2643,10572,10572,4,1,0,0,0
"-:723476.1-770820.7",,2,9467,37868,37868,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.20098,2,9467,37868,37868,4,1,0,0,0
"-:770821.1-785790.7",,2,2992,11968,11968,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.388988,2,2992,11968,11968,4,1,0,0,0
"-:785791.1-805380.7",,2,3916,15664,15664,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.477512,2,3916,15664,15664,4,1,0,0,0
"-:805381.1-823665.7",,2,3655,14620,14620,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.453828,2,3655,14620,14620,4,1,0,0,0
"-:823666.1-857750.7",,2,6815,27260,27260,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.846787,2,6815,27260,27260,4,1,0,0,0
"-:857751.1-879115.7",,2,4271,17084,17084,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.52198,2,4271,17084,17084,4,1,0,0,0
"-:879116.1-893975.7",,2,2970,11880,11880,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.384163,2,2970,11880,11880,4,1,0,0,0
